n_sequences,	cluster_id,	query_id,	%_identity,	alignment_length,	mismatches,	gap_opens,	evalue,	bit_score,	subject_titles
#	BLASTN	2.12.0+
#	Query:	polished-100-422.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	40	hits	found
polished-100-422.fasta	99.270	548	1	2	0.0	987	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
polished-33-1057.fasta	94.723	777	33	6	0.0	1201	DQ925310.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Adenocephalus;	s__pacificus	DQ925310.2
polished-33-1057.fasta	96.676	361	12	0	4.45e-170	601	DQ925310.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Adenocephalus;	s__pacificus	DQ925310.2
polished-33-1057.fasta	95.606	751	28	5	0.0	1199	AB512013.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB512013.1
polished-33-1057.fasta	97.746	355	8	0	2.06e-173	612	AB512013.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB512013.1
polished-33-1057.fasta	95.811	740	26	5	0.0	1190	DQ181945.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__dendriticus	DQ181945.2
polished-33-1057.fasta	97.746	355	8	0	2.06e-173	612	DQ181945.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__dendriticus	DQ181945.2
polished-33-1057.fasta	95.811	740	26	5	0.0	1190	DQ181944.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__ditremum	DQ181944.2
polished-33-1057.fasta	97.746	355	8	0	2.06e-173	612	DQ181944.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__ditremum	DQ181944.2
polished-33-1057.fasta	95.676	740	27	5	0.0	1184	DQ181941.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ181941.1
polished-33-1057.fasta	97.746	355	8	0	2.06e-173	612	DQ181941.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ181941.1
polished-33-1057.fasta	94.682	771	27	7	0.0	1184	AF124460.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Schistocephalus;	s__solidus	AF124460.1
polished-33-1057.fasta	98.291	351	6	0	1.59e-174	616	AF124460.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Schistocephalus;	s__solidus	AF124460.1
polished-33-1057.fasta	95.541	740	28	5	0.0	1179	DQ768160.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	DQ768160.1
polished-33-1057.fasta	97.746	355	8	0	2.06e-173	612	DQ768160.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	DQ768160.1
polished-33-1057.fasta	95.541	740	28	5	0.0	1179	DQ181943.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__sp.	HY-2005	DQ181943.2
polished-33-1057.fasta	97.746	355	8	0	2.06e-173	612	DQ181943.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__sp.	HY-2005	DQ181943.2
polished-33-1057.fasta	94.980	757	26	11	0.0	1177	AF124459.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	AF124459.1
polished-33-1057.fasta	96.685	362	10	2	4.45e-170	601	AF124459.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	AF124459.1
polished-33-1057.fasta	95.283	742	26	9	0.0	1168	DQ768163.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	DQ768163.1
polished-33-1057.fasta	96.961	362	9	2	9.56e-172	606	DQ768163.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	DQ768163.1
polished-33-1057.fasta	95.646	712	26	5	0.0	1138	DQ316795.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316795.1
polished-33-1057.fasta	97.746	355	8	0	2.06e-173	612	DQ316795.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316795.1
polished-33-1057.fasta	95.506	712	27	5	0.0	1133	DQ316794.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316794.1
polished-33-1057.fasta	97.746	355	8	0	2.06e-173	612	DQ316794.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316794.1
polished-33-1057.fasta	95.506	712	27	5	0.0	1133	DQ316793.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316793.1
polished-33-1057.fasta	97.746	355	8	0	2.06e-173	612	DQ316793.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316793.1
#	BLASTN	2.12.0+
#	Query:	polished-33-1249.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	51	hits	found
polished-33-1249.fasta	99.537	432	1	1	0.0	785	JQ609338.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__saginata	JQ609338.1
polished-33-1249.fasta	94.937	158	8	0	4.49e-64	248	JQ609338.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__saginata	JQ609338.1
polished-33-1249.fasta	93.671	158	10	0	9.72e-61	237	JQ609338.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__saginata	JQ609338.1
polished-33-1249.fasta	98.843	432	4	1	0.0	769	GQ260088.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__asiatica	GQ260088.1
polished-33-1249.fasta	94.937	158	8	0	4.49e-64	248	GQ260088.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__asiatica	GQ260088.1
polished-33-1249.fasta	93.671	158	10	0	9.72e-61	237	GQ260088.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__asiatica	GQ260088.1
polished-33-1249.fasta	95.833	432	17	1	0.0	697	GQ260089.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__multiceps	GQ260089.1
polished-33-1249.fasta	94.304	158	9	0	2.09e-62	243	GQ260089.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__multiceps	GQ260089.1
polished-33-1249.fasta	93.038	158	11	0	4.52e-59	231	GQ260089.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__multiceps	GQ260089.1
polished-33-1249.fasta	93.243	444	10	6	0.0	636	GQ260091.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__solium	GQ260091.1
polished-33-1249.fasta	94.937	158	8	0	4.49e-64	248	GQ260091.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__solium	GQ260091.1
polished-33-1249.fasta	93.671	158	10	0	9.72e-61	237	GQ260091.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__solium	GQ260091.1
polished-33-1249.fasta	99.403	335	1	1	6.43e-172	606	AB731616.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__saginata	AB731616.1
polished-33-1249.fasta	98.209	335	5	1	3.01e-165	584	AB731617.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__asiatica	AB731617.1
polished-33-1249.fasta	89.755	449	22	17	8.50e-156	553	GQ260090.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__hydatigena	GQ260090.1
polished-33-1249.fasta	94.304	158	9	0	2.09e-62	243	GQ260090.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__hydatigena	GQ260090.1
polished-33-1249.fasta	93.038	158	11	0	4.52e-59	231	GQ260090.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__hydatigena	GQ260090.1
polished-33-1249.fasta	88.742	453	20	24	1.85e-147	525	JQ609339.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__pisiformis	JQ609339.1
polished-33-1249.fasta	94.304	158	9	0	2.09e-62	243	JQ609339.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__pisiformis	JQ609339.1
polished-33-1249.fasta	93.038	158	11	0	4.52e-59	231	JQ609339.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__pisiformis	JQ609339.1
polished-33-1249.fasta	94.690	339	13	4	2.40e-146	521	AB731623.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__madoquae	AB731623.1
polished-33-1249.fasta	94.627	335	17	1	3.10e-145	518	AB731621.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__multiceps	AB731621.1
polished-33-1249.fasta	93.623	345	11	6	2.41e-141	505	AB731622.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__ovis	AB731622.1
polished-33-1249.fasta	92.982	342	16	4	1.88e-137	492	AB731620.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__serialis	AB731620.1
polished-33-1249.fasta	85.779	443	22	24	4.16e-119	431	JQ609340.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Hydatigera;	s__taeniaeformis	JQ609340.1
polished-33-1249.fasta	94.937	158	8	0	4.49e-64	248	JQ609340.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Hydatigera;	s__taeniaeformis	JQ609340.1
polished-33-1249.fasta	93.671	158	10	0	9.72e-61	237	JQ609340.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Hydatigera;	s__taeniaeformis	JQ609340.1
polished-33-1249.fasta	84.848	429	41	21	5.41e-113	411	AF124473.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetrabothriidea;	f__Tetrabothriidae;	g__Tetrabothrius;	s__forsteri	AF124473.1
polished-33-1249.fasta	95.918	147	6	0	2.70e-61	239	AF124473.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetrabothriidea;	f__Tetrabothriidae;	g__Tetrabothrius;	s__forsteri	AF124473.1
polished-33-1249.fasta	94.558	147	8	0	5.85e-58	228	AF124473.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetrabothriidea;	f__Tetrabothriidae;	g__Tetrabothrius;	s__forsteri	AF124473.1
polished-33-1249.fasta	85.330	409	23	21	2.54e-106	388	EU704119.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__granulosus	EU704119.1
polished-33-1249.fasta	94.578	166	9	0	7.46e-67	257	EU704119.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__granulosus	EU704119.1
polished-33-1249.fasta	93.373	166	11	0	1.62e-63	246	EU704119.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__granulosus	EU704119.1
polished-33-1249.fasta	84.051	395	24	18	5.57e-93	344	EU704117.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__multilocularis	EU704117.1
polished-33-1249.fasta	94.578	166	9	0	7.46e-67	257	EU704117.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__multilocularis	EU704117.1
polished-33-1249.fasta	93.373	166	11	0	1.62e-63	246	EU704117.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__multilocularis	EU704117.1
polished-33-1249.fasta	84.010	394	24	18	2.00e-92	342	EU704116.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__multilocularis	EU704116.1
polished-33-1249.fasta	94.578	166	9	0	7.46e-67	257	EU704116.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__multilocularis	EU704116.1
polished-33-1249.fasta	93.373	166	11	0	1.62e-63	246	EU704116.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__multilocularis	EU704116.1
polished-33-1249.fasta	89.850	266	17	8	1.21e-89	333	AF286980.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Davaineidae;	g__Raillietina;	s__australis	AF286980.1
polished-33-1249.fasta	96.951	164	5	0	2.06e-72	276	AF286980.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Davaineidae;	g__Raillietina;	s__australis	AF286980.1
polished-33-1249.fasta	95.732	164	7	0	4.46e-69	265	AF286980.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Davaineidae;	g__Raillietina;	s__australis	AF286980.1
polished-33-1249.fasta	98.990	99	1	0	5.98e-43	178	AF286980.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Davaineidae;	g__Raillietina;	s__australis	AF286980.1
polished-33-1249.fasta	97.326	187	5	0	3.38e-85	318	AF124474.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Nippotaeniidea;	f__Nippotaeniidae;	g__Amurotaenia;	s__decidua	AF124474.1
polished-33-1249.fasta	97.041	169	5	0	3.42e-75	285	AF124474.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Nippotaeniidea;	f__Nippotaeniidae;	g__Amurotaenia;	s__decidua	AF124474.1
polished-33-1249.fasta	95.858	169	7	0	7.41e-72	274	AF124474.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Nippotaeniidea;	f__Nippotaeniidae;	g__Amurotaenia;	s__decidua	AF124474.1
polished-33-1249.fasta	98.095	105	1	1	4.62e-44	182	AF124474.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Nippotaeniidea;	f__Nippotaeniidae;	g__Amurotaenia;	s__decidua	AF124474.1
polished-33-1249.fasta	100.000	30	0	0	2.92e-06	56.5	AF124474.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Nippotaeniidea;	f__Nippotaeniidae;	g__Amurotaenia;	s__decidua	AF124474.1
polished-33-1249.fasta	83.558	371	22	18	5.65e-83	311	EU704118.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__multilocularis	EU704118.1
polished-33-1249.fasta	94.578	166	9	0	7.46e-67	257	EU704118.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__multilocularis	EU704118.1
polished-33-1249.fasta	93.373	166	11	0	1.62e-63	246	EU704118.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__multilocularis	EU704118.1
#	BLASTN	2.12.0+
#	Query:	polished-33-1469.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	40	hits	found
polished-33-1469.fasta	99.362	470	1	1	0.0	850	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
polished-33-1469.fasta	98.753	401	2	2	0.0	710	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
polished-33-1469.fasta	99.149	470	2	1	0.0	845	HQ228991.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__sp.	JL-2010	HQ228991.1
polished-33-1469.fasta	98.500	400	3	2	0.0	702	HQ228991.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__sp.	JL-2010	HQ228991.1
polished-33-1469.fasta	98.105	475	2	3	0.0	821	AF124460.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Schistocephalus;	s__solidus	AF124460.1
polished-33-1469.fasta	97.277	404	3	4	0.0	678	AF124460.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Schistocephalus;	s__solidus	AF124460.1
polished-33-1469.fasta	97.890	474	4	4	0.0	815	DQ925310.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Adenocephalus;	s__pacificus	DQ925310.2
polished-33-1469.fasta	97.030	404	5	5	0.0	673	DQ925310.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Adenocephalus;	s__pacificus	DQ925310.2
polished-33-1469.fasta	97.890	474	4	4	0.0	815	DQ925309.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ925309.1
polished-33-1469.fasta	97.030	404	5	5	0.0	673	DQ925309.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ925309.1
polished-33-1469.fasta	97.890	474	4	4	0.0	815	DQ925308.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Digramma;	s__interrupta	DQ925308.1
polished-33-1469.fasta	97.030	404	5	5	0.0	673	DQ925308.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Digramma;	s__interrupta	DQ925308.1
polished-33-1469.fasta	97.886	473	4	4	0.0	813	DQ316795.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316795.1
polished-33-1469.fasta	97.022	403	5	5	0.0	671	DQ316795.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316795.1
polished-33-1469.fasta	97.886	473	4	4	0.0	813	DQ316793.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316793.1
polished-33-1469.fasta	97.022	403	5	5	0.0	671	DQ316793.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316793.1
polished-33-1469.fasta	97.679	474	5	4	0.0	809	DQ925312.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Ligula;	s__colymbi	DQ925312.1
polished-33-1469.fasta	96.782	404	6	5	0.0	667	DQ925312.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Ligula;	s__colymbi	DQ925312.1
polished-33-1469.fasta	97.674	473	5	4	0.0	808	DQ316796.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316796.1
polished-33-1469.fasta	96.774	403	6	5	0.0	665	DQ316796.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316796.1
polished-33-1469.fasta	97.674	473	5	4	0.0	808	DQ316794.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316794.1
polished-33-1469.fasta	97.022	403	5	5	0.0	671	DQ316794.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316794.1
polished-33-1469.fasta	97.474	475	6	4	0.0	808	AF124459.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	AF124459.1
polished-33-1469.fasta	96.535	404	7	5	0.0	664	AF124459.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	AF124459.1
polished-33-1469.fasta	98.043	460	3	4	0.0	795	AB374225.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB374225.1
polished-33-1469.fasta	97.686	389	3	4	0.0	664	AB374225.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB374225.1
polished-33-1469.fasta	97.831	461	4	4	0.0	791	AB353272.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diplogonoporus;	s__grandis	AB353272.1
polished-33-1469.fasta	97.436	390	4	4	0.0	660	AB353272.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diplogonoporus;	s__grandis	AB353272.1
polished-33-1469.fasta	98.022	455	3	4	0.0	785	AB512013.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB512013.1
polished-33-1469.fasta	97.656	384	3	4	0.0	654	AB512013.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB512013.1
polished-33-1469.fasta	97.921	433	3	4	0.0	745	DQ181943.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__sp.	HY-2005	DQ181943.2
polished-33-1469.fasta	97.514	362	3	4	4.36e-174	614	DQ181943.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__sp.	HY-2005	DQ181943.2
polished-33-1469.fasta	94.958	476	16	7	0.0	739	DQ925307.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Pseudophyllidea;	f__Cephalochlamydidae;	g__Cephalochlamys;	s__namaquensis	DQ925307.1
polished-33-1469.fasta	93.596	406	17	5	4.39e-169	597	DQ925307.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Pseudophyllidea;	f__Cephalochlamydidae;	g__Cephalochlamys;	s__namaquensis	DQ925307.1
polished-33-1469.fasta	97.691	433	4	4	0.0	739	DQ181941.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ181941.1
